Pretty Formula,A,B
VC,V3+,C3-
VC,V4+,C4-
VN,V1+,N1-
VN,V2+,N2-
VN,V3+,N3-
VO,V1+,O1-
VO,V2+,O2-
VF,V1+,F1-
VSi,V1+,Si1-
VSi,V2+,Si2-
VSi,V3+,Si3-
VSi,V4+,Si4-
VP,V1+,P1-
VP,V2+,P2-
VP,V3+,P3-
VS,V1+,S1-
VS,V2+,S2-
VCl,V1+,Cl1-
VCr,V1+,Cr1-
VCr,V2+,Cr2-
VFe,V1+,Fe1-
VFe,V2+,Fe2-
VCo,V1+,Co1-
VNi,V1+,Ni1-
VGe,V1+,Ge1-
VGe,V2+,Ge2-
VGe,V3+,Ge3-
VGe,V4+,Ge4-
VAs,V3+,As3-
VSe,V2+,Se2-
VBr,V1+,Br1-
VMo,V1+,Mo1-
VMo,V2+,Mo2-
VRu,V2+,Ru2-
VRh,V1+,Rh1-
VSn,V4+,Sn4-
VSb,V3+,Sb3-
VTe,V2+,Te2-
VI,V1+,I1-
VW,V1+,W1-
VW,V2+,W2-
VRe,V1+,Re1-
VRe,V3+,Re3-
VOs,V1+,Os1-
VOs,V2+,Os2-
VIr,V1+,Ir1-
VIr,V3+,Ir3-
VPt,V1+,Pt1-
VPt,V2+,Pt2-
VAu,V1+,Au1-
TlV,V1+,Tl1-
VPb,V4+,Pb4-
VBi,V3+,Bi3-
CrH,Cr1+,H1-
CrC,Cr1+,C1-
CrC,Cr2+,C2-
CrC,Cr3+,C3-
CrC,Cr4+,C4-
CrN,Cr1+,N1-
CrN,Cr2+,N2-
CrN,Cr3+,N3-
CrO,Cr1+,O1-
CrO,Cr2+,O2-
CrF,Cr1+,F1-
CrSi,Cr1+,Si1-
CrSi,Cr2+,Si2-
CrSi,Cr3+,Si3-
CrSi,Cr4+,Si4-
CrP,Cr1+,P1-
CrP,Cr2+,P2-
CrP,Cr3+,P3-
CrS,Cr1+,S1-
CrS,Cr2+,S2-
CrCl,Cr1+,Cl1-
CrFe,Cr1+,Fe1-
CrFe,Cr2+,Fe2-
CrCo,Cr1+,Co1-
CrNi,Cr1+,Ni1-
CrGe,Cr1+,Ge1-
CrGe,Cr2+,Ge2-
CrGe,Cr3+,Ge3-
CrGe,Cr4+,Ge4-
CrAs,Cr3+,As3-
CrSe,Cr2+,Se2-
CrBr,Cr1+,Br1-
CrMo,Cr1+,Mo1-
CrMo,Cr2+,Mo2-
CrRu,Cr2+,Ru2-
CrRh,Cr1+,Rh1-
CrSn,Cr4+,Sn4-
CrSb,Cr3+,Sb3-
CrTe,Cr2+,Te2-
CrI,Cr1+,I1-
CrW,Cr1+,W1-
CrW,Cr2+,W2-
CrRe,Cr1+,Re1-
CrRe,Cr3+,Re3-
CrOs,Cr1+,Os1-
CrOs,Cr2+,Os2-
CrIr,Cr1+,Ir1-
CrIr,Cr3+,Ir3-
CrPt,Cr1+,Pt1-
CrPt,Cr2+,Pt2-
CrAu,Cr1+,Au1-
TlCr,Cr1+,Tl1-
CrPb,Cr4+,Pb4-
CrBi,Cr3+,Bi3-
MnH,Mn1+,H1-
MnC,Mn1+,C1-
MnC,Mn2+,C2-
MnC,Mn3+,C3-
MnC,Mn4+,C4-
MnN,Mn1+,N1-
MnN,Mn2+,N2-
MnN,Mn3+,N3-
MnO,Mn1+,O1-
MnO,Mn2+,O2-
MnF,Mn1+,F1-
MnSi,Mn1+,Si1-
MnSi,Mn2+,Si2-
MnSi,Mn3+,Si3-
MnSi,Mn4+,Si4-
MnP,Mn1+,P1-
MnP,Mn2+,P2-
MnP,Mn3+,P3-
MnS,Mn1+,S1-
MnS,Mn2+,S2-
MnCl,Mn1+,Cl1-
MnV,Mn1+,V1-
MnCr,Mn1+,Cr1-
MnCr,Mn2+,Cr2-
MnFe,Mn1+,Fe1-
MnFe,Mn2+,Fe2-
MnCo,Mn1+,Co1-
MnNi,Mn1+,Ni1-
MnGe,Mn1+,Ge1-
MnGe,Mn2+,Ge2-
MnGe,Mn3+,Ge3-
MnGe,Mn4+,Ge4-
MnAs,Mn3+,As3-
MnSe,Mn2+,Se2-
MnBr,Mn1+,Br1-
MnNb,Mn1+,Nb1-
MnMo,Mn1+,Mo1-
MnMo,Mn2+,Mo2-
MnRu,Mn2+,Ru2-
MnRh,Mn1+,Rh1-
MnSn,Mn4+,Sn4-
MnSb,Mn3+,Sb3-
MnTe,Mn2+,Te2-
MnI,Mn1+,I1-
MnW,Mn1+,W1-
MnW,Mn2+,W2-
MnRe,Mn1+,Re1-
MnRe,Mn3+,Re3-
MnOs,Mn1+,Os1-
MnOs,Mn2+,Os2-
MnIr,Mn1+,Ir1-
MnIr,Mn3+,Ir3-
MnPt,Mn1+,Pt1-
MnPt,Mn2+,Pt2-
MnAu,Mn1+,Au1-
MnTl,Mn1+,Tl1-
MnPb,Mn4+,Pb4-
MnBi,Mn3+,Bi3-
FeH,Fe1+,H1-
FeC,Fe1+,C1-
FeC,Fe2+,C2-
FeC,Fe3+,C3-
FeC,Fe4+,C4-
FeN,Fe1+,N1-
FeN,Fe2+,N2-
FeN,Fe3+,N3-
FeO,Fe1+,O1-
FeO,Fe2+,O2-
FeF,Fe1+,F1-
FeSi,Fe1+,Si1-
FeSi,Fe2+,Si2-
FeSi,Fe3+,Si3-
FeSi,Fe4+,Si4-
FeP,Fe1+,P1-
FeP,Fe2+,P2-
FeP,Fe3+,P3-
FeS,Fe1+,S1-
FeS,Fe2+,S2-
FeCl,Fe1+,Cl1-
FeCo,Fe1+,Co1-
FeNi,Fe1+,Ni1-
FeGe,Fe1+,Ge1-
FeGe,Fe2+,Ge2-
FeGe,Fe3+,Ge3-
FeGe,Fe4+,Ge4-
FeAs,Fe3+,As3-
FeSe,Fe2+,Se2-
FeBr,Fe1+,Br1-
FeMo,Fe1+,Mo1-
FeMo,Fe2+,Mo2-
FeRu,Fe2+,Ru2-
FeRh,Fe1+,Rh1-
FeSn,Fe4+,Sn4-
FeSb,Fe3+,Sb3-
FeTe,Fe2+,Te2-
FeI,Fe1+,I1-
FeRe,Fe1+,Re1-
FeRe,Fe3+,Re3-
FeOs,Fe1+,Os1-
FeOs,Fe2+,Os2-
FeIr,Fe1+,Ir1-
FeIr,Fe3+,Ir3-
FePt,Fe1+,Pt1-
FePt,Fe2+,Pt2-
FeAu,Fe1+,Au1-
FeBi,Fe3+,Bi3-
CoH,Co1+,H1-
CoC,Co1+,C1-
CoC,Co2+,C2-
CoC,Co3+,C3-
CoC,Co4+,C4-
CoN,Co1+,N1-
CoN,Co2+,N2-
CoN,Co3+,N3-
CoO,Co1+,O1-
CoO,Co2+,O2-
CoF,Co1+,F1-
CoSi,Co1+,Si1-
CoSi,Co2+,Si2-
CoSi,Co3+,Si3-
CoSi,Co4+,Si4-
CoP,Co1+,P1-
CoP,Co2+,P2-
CoP,Co3+,P3-
CoS,Co1+,S1-
CoS,Co2+,S2-
CoCl,Co1+,Cl1-
CoNi,Co1+,Ni1-
CoGe,Co1+,Ge1-
CoGe,Co2+,Ge2-
CoGe,Co3+,Ge3-
CoGe,Co4+,Ge4-
CoAs,Co3+,As3-
CoSe,Co2+,Se2-
CoBr,Co1+,Br1-
CoMo,Co1+,Mo1-
CoMo,Co2+,Mo2-
CoRu,Co2+,Ru2-
CoRh,Co1+,Rh1-
CoSn,Co4+,Sn4-
CoSb,Co3+,Sb3-
CoTe,Co2+,Te2-
CoI,Co1+,I1-
CoRe,Co1+,Re1-
CoRe,Co3+,Re3-
CoOs,Co1+,Os1-
CoOs,Co2+,Os2-
CoIr,Co1+,Ir1-
CoIr,Co3+,Ir3-
CoPt,Co1+,Pt1-
CoPt,Co2+,Pt2-
CoAu,Co1+,Au1-
CoBi,Co3+,Bi3-
NiH,Ni1+,H1-
NiC,Ni1+,C1-
NiC,Ni2+,C2-
NiC,Ni3+,C3-
NiC,Ni4+,C4-
NiN,Ni1+,N1-
NiN,Ni2+,N2-
NiN,Ni3+,N3-
NiO,Ni1+,O1-
NiO,Ni2+,O2-
NiF,Ni1+,F1-
